model,strategy,avg_latency,id_acc,ood_acc,gqr_score,dataset_acc,timestamp,hyperparameters
google/gemma-4-E2B-it,dspy,0.3127,0.9459,0.7472,0.8349,"{'jigsaw': 0.835096453018046, 'olid': 0.6186046511627907, 'hate_xplain': 0.69469250210615, 'hate_speech_slovak ': 0.7361835245046924, 'dkhate': 0.8358662613981763, 'web_questions': 0.6505905511811023, 'ml_questions': 0.859375}"
google/gemma-4-E2B-it,fewshot,0.3381,0.9628,0.7557,0.8468,"{'jigsaw': 0.7940261356565028, 'olid': 0.6441860465116279, 'hate_xplain': 0.6554338668913227, 'hate_speech_slovak ': 0.8164754953076121, 'dkhate': 0.8693009118541033, 'web_questions': 0.7135826771653543, 'ml_questions': 0.796875}"
Qwen/Qwen3.5-9B,dspy,0.2847,0.9571,0.8706,0.9118,"{'jigsaw': 0.94803982576229, 'olid': 0.7023255813953488, 'hate_xplain': 0.8805391743892165, 'hate_speech_slovak ': 0.8237747653806048, 'dkhate': 0.878419452887538, 'web_questions': 0.8769685039370079, 'ml_questions': 0.984375}"
Qwen/Qwen3.5-9B,fewshot,0.2864,0.9571,0.8706,0.9118,"{'jigsaw': 0.94803982576229, 'olid': 0.7023255813953488, 'hate_xplain': 0.8805391743892165, 'hate_speech_slovak ': 0.8237747653806048, 'dkhate': 0.878419452887538, 'web_questions': 0.8769685039370079, 'ml_questions': 0.984375}"
ibm-granite/granite-4.0-tiny-preview,baseline,0.1241,0.3941,0.9965,0.5648,"{'jigsaw': 0.9990665836963286, 'olid': 1.0, 'hate_xplain': 1.0, 'hate_speech_slovak ': 0.9979144942648592, 'dkhate': 1.0, 'web_questions': 0.9788385826771654, 'ml_questions': 1.0}"
ibm-granite/granite-4.0-tiny-preview,gepa,0.7254,0.934,0.5694,0.7075,"{'jigsaw': 0.8002489110143124, 'olid': 0.6348837209302326, 'hate_xplain': 0.7806234203875316, 'hate_speech_slovak ': 0.5599582898852972, 'dkhate': 0.7173252279635258, 'web_questions': 0.28937007874015747, 'ml_questions': 0.203125}"
mistralai/Mistral-7B-Instruct-v0.3,baseline,0.0439,0.6957,0.9928,0.8181,"{'jigsaw': 0.9931549471064095, 'olid': 0.9825581395348837, 'hate_xplain': 0.9988205560235889, 'hate_speech_slovak ': 0.986444212721585, 'dkhate': 0.993920972644377, 'web_questions': 0.9945866141732284, 'ml_questions': 1.0}"
mistralai/Mistral-7B-Instruct-v0.3,gepa,0.3801,0.9161,0.8511,0.8824,"{'jigsaw': 0.8929682638456752, 'olid': 0.763953488372093, 'hate_xplain': 0.9331086773378264, 'hate_speech_slovak ': 0.821689259645464, 'dkhate': 0.8905775075987842, 'web_questions': 0.8587598425196851, 'ml_questions': 0.796875}"
google/gemma-4-E2B-it,baseline,0.046,0.9282,0.9451,0.9366,"{'jigsaw': 0.9760423148724331, 'olid': 0.8848837209302326, 'hate_xplain': 0.9769165964616681, 'hate_speech_slovak ': 0.9478623566214807, 'dkhate': 0.939209726443769, 'web_questions': 0.922244094488189, 'ml_questions': 0.96875}"
google/gemma-4-E2B-it,gepa,0.3144,0.9459,0.7472,0.8349,"{'jigsaw': 0.835096453018046, 'olid': 0.6186046511627907, 'hate_xplain': 0.69469250210615, 'hate_speech_slovak ': 0.7361835245046924, 'dkhate': 0.8358662613981763, 'web_questions': 0.6505905511811023, 'ml_questions': 0.859375}"
Qwen/Qwen3.5-9B,baseline,0.0664,0.9232,0.9662,0.9442,"{'jigsaw': 0.9906658369632856, 'olid': 0.9069767441860465, 'hate_xplain': 0.9903959561920809, 'hate_speech_slovak ': 0.9614181438998958, 'dkhate': 0.9787234042553191, 'web_questions': 0.9355314960629921, 'ml_questions': 1.0}"
Qwen/Qwen3.5-9B,gepa,0.288,0.9578,0.8709,0.9123,"{'jigsaw': 0.9464841319228375, 'olid': 0.7, 'hate_xplain': 0.8813816343723673, 'hate_speech_slovak ': 0.8248175182481752, 'dkhate': 0.8814589665653495, 'web_questions': 0.8779527559055118, 'ml_questions': 0.984375}"
