timestamp,model,strategy,avg_latency,id_acc,ood_acc,gqr_score,dataset_acc,hyperparameters
20260416_110329,Qwen/Qwen3.5-9B,baseline,0.0876,0.925,0.9779,0.9507,"{'hate_xplain': 0.9932885906040269, 'jigsaw': 0.9882352941176471, 'web_questions': 0.927007299270073, 'olid': 0.9552238805970149, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9814814814814815, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110329,Qwen/Qwen3.5-9B,dspy,0.3148,0.959,0.9329,0.9458,"{'hate_xplain': 0.959731543624161, 'jigsaw': 0.9647058823529412, 'web_questions': 0.927007299270073, 'olid': 0.8059701492537313, 'dkhate': 0.9655172413793104, 'hate_speech_slovak ': 0.9074074074074074, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110329,Qwen/Qwen3.5-9B,gepa,0.3453,0.956,0.9783,0.967,"{'hate_xplain': 0.9888143176733781, 'jigsaw': 0.9882352941176471, 'web_questions': 0.9416058394160584, 'olid': 0.9850746268656716, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9444444444444444, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110329,Qwen/Qwen3.5-9B,fewshot,0.3569,0.955,0.9682,0.9616,"{'hate_xplain': 0.9910514541387024, 'jigsaw': 0.984313725490196, 'web_questions': 0.9416058394160584, 'olid': 0.9701492537313433, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9814814814814815, 'ml_questions': 0.9090909090909091}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110329,mistralai/Mistral-7B-Instruct-v0.3,baseline,0.0756,0.698,0.9984,0.8216,"{'hate_xplain': 1.0, 'jigsaw': 0.996078431372549, 'web_questions': 0.9927007299270073, 'olid': 1.0, 'dkhate': 1.0, 'hate_speech_slovak ': 1.0, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110329,mistralai/Mistral-7B-Instruct-v0.3,dspy,0.2412,0.795,0.9613,0.8703,"{'hate_xplain': 0.9977628635346756, 'jigsaw': 0.984313725490196, 'web_questions': 0.9051094890510949, 'olid': 0.9701492537313433, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9629629629629629, 'ml_questions': 0.9090909090909091}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_121018,mistralai/Mistral-7B-Instruct-v0.3,gepa,0.3376,0.913,0.9111,0.9121,"{'hate_xplain': 0.9798657718120806, 'jigsaw': 0.9607843137254902, 'web_questions': 0.9197080291970803, 'olid': 0.9552238805970149, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9259259259259259, 'ml_questions': 0.6363636363636364}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_121018,mistralai/Mistral-7B-Instruct-v0.3,fewshot,0.301,0.917,0.9782,0.9466,"{'hate_xplain': 0.9888143176733781, 'jigsaw': 0.9882352941176471, 'web_questions': 0.9708029197080292, 'olid': 0.9552238805970149, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9444444444444444, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_124420,Qwen/Qwen3.5-4B,baseline,0.0828,0.89,0.9842,0.9348,"{'hate_xplain': 0.9932885906040269, 'jigsaw': 0.9882352941176471, 'web_questions': 0.9416058394160584, 'olid': 0.9850746268656716, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9814814814814815, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_124420,Qwen/Qwen3.5-4B,dspy,0.2916,0.893,0.9677,0.9288,"{'hate_xplain': 0.9753914988814317, 'jigsaw': 0.9607843137254902, 'web_questions': 0.9343065693430657, 'olid': 0.9402985074626866, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9629629629629629, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_124420,Qwen/Qwen3.5-4B,gepa,0.3072,0.91,0.9608,0.9347,"{'hate_xplain': 0.9530201342281879, 'jigsaw': 0.9764705882352941, 'web_questions': 0.9562043795620438, 'olid': 0.8955223880597015, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9444444444444444, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_124420,Qwen/Qwen3.5-4B,fewshot,0.3124,0.921,0.9774,0.9484,"{'hate_xplain': 0.9955257270693513, 'jigsaw': 0.996078431372549, 'web_questions': 0.9562043795620438, 'olid': 0.9850746268656716, 'dkhate': 1.0, 'hate_speech_slovak ': 1.0, 'ml_questions': 0.9090909090909091}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110358,ibm-granite/granite-4.0-tiny-preview,baseline,0.1492,0.378,0.9953,0.5479,"{'hate_xplain': 1.0, 'jigsaw': 0.996078431372549, 'web_questions': 0.9708029197080292, 'olid': 1.0, 'dkhate': 1.0, 'hate_speech_slovak ': 1.0, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110338,google/gemma-4-E2B-it,dspy,0.3161,0.948,0.8501,0.8964,"{'hate_xplain': 0.8903803131991052, 'jigsaw': 0.9176470588235294, 'web_questions': 0.8394160583941606, 'olid': 0.7611940298507462, 'dkhate': 1.0, 'hate_speech_slovak ': 0.8148148148148148, 'ml_questions': 0.7272727272727273}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110358,ibm-granite/granite-4.0-tiny-preview,dspy,0.7023,0.92,0.741,0.8209,"{'hate_xplain': 0.9082774049217002, 'jigsaw': 0.8980392156862745, 'web_questions': 0.6058394160583942, 'olid': 0.7910447761194029, 'dkhate': 0.896551724137931, 'hate_speech_slovak ': 0.8148148148148148, 'ml_questions': 0.2727272727272727}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110338,google/gemma-4-E2B-it,gepa,0.4059,0.931,0.8166,0.87,"{'hate_xplain': 0.9060402684563759, 'jigsaw': 0.8980392156862745, 'web_questions': 0.8905109489051095, 'olid': 0.8059701492537313, 'dkhate': 1.0, 'hate_speech_slovak ': 0.8518518518518519, 'ml_questions': 0.36363636363636365}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110338,google/gemma-4-E2B-it,fewshot,0.3523,0.95,0.9445,0.9472,"{'hate_xplain': 0.9753914988814317, 'jigsaw': 0.9764705882352941, 'web_questions': 0.9197080291970803, 'olid': 0.9402985074626866, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9814814814814815, 'ml_questions': 0.8181818181818182}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110358,ibm-granite/granite-4.0-tiny-preview,gepa,0.7887,0.959,0.758,0.8468,"{'hate_xplain': 0.8322147651006712, 'jigsaw': 0.8862745098039215, 'web_questions': 0.6642335766423357, 'olid': 0.7761194029850746, 'dkhate': 0.896551724137931, 'hate_speech_slovak ': 0.7962962962962963, 'ml_questions': 0.45454545454545453}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_120939,google/gemma-4-E2B-it,baseline,0.0507,0.922,0.9508,0.9362,"{'hate_xplain': 0.9776286353467561, 'jigsaw': 0.9686274509803922, 'web_questions': 0.927007299270073, 'olid': 0.9104477611940298, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9629629629629629, 'ml_questions': 0.9090909090909091}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_122839,Qwen/Qwen3.5-0.8B,baseline,0.0702,0.787,0.4688,0.5876,"{'hate_xplain': 0.5682326621923938, 'jigsaw': 0.5686274509803921, 'web_questions': 0.1897810218978102, 'olid': 0.44776119402985076, 'dkhate': 0.5862068965517241, 'hate_speech_slovak ': 0.6481481481481481, 'ml_questions': 0.2727272727272727}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_122839,Qwen/Qwen3.5-0.8B,dspy,0.2297,0.106,0.9974,0.1916,"{'hate_xplain': 1.0, 'jigsaw': 0.996078431372549, 'web_questions': 0.9854014598540146, 'olid': 1.0, 'dkhate': 1.0, 'hate_speech_slovak ': 1.0, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_110358,ibm-granite/granite-4.0-tiny-preview,fewshot,0.7709,0.943,0.7779,0.8526,"{'hate_xplain': 0.883668903803132, 'jigsaw': 0.9529411764705882, 'web_questions': 0.6423357664233577, 'olid': 0.7611940298507462, 'dkhate': 0.8620689655172413, 'hate_speech_slovak ': 0.8888888888888888, 'ml_questions': 0.45454545454545453}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_122839,Qwen/Qwen3.5-0.8B,gepa,0.2298,0.188,0.9958,0.3163,"{'hate_xplain': 1.0, 'jigsaw': 0.9921568627450981, 'web_questions': 0.9781021897810219, 'olid': 1.0, 'dkhate': 1.0, 'hate_speech_slovak ': 1.0, 'ml_questions': 1.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_122839,Qwen/Qwen3.5-0.8B,fewshot,0.2121,0.881,0.6328,0.7365,"{'hate_xplain': 0.8926174496644296, 'jigsaw': 0.8549019607843137, 'web_questions': 0.3357664233576642, 'olid': 0.7910447761194029, 'dkhate': 0.6206896551724138, 'hate_speech_slovak ': 0.3888888888888889, 'ml_questions': 0.5454545454545454}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_122839,Qwen/Qwen3.5-2B,baseline,0.0608,0.908,0.9112,0.9096,"{'hate_xplain': 0.9507829977628636, 'jigsaw': 0.9647058823529412, 'web_questions': 0.9051094890510949, 'olid': 0.9402985074626866, 'dkhate': 1.0, 'hate_speech_slovak ': 0.9814814814814815, 'ml_questions': 0.6363636363636364}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_122839,Qwen/Qwen3.5-2B,dspy,0.2462,0.79,0.8068,0.7983,"{'hate_xplain': 0.8903803131991052, 'jigsaw': 0.9450980392156862, 'web_questions': 0.7591240875912408, 'olid': 0.8507462686567164, 'dkhate': 0.9310344827586207, 'hate_speech_slovak ': 0.9074074074074074, 'ml_questions': 0.36363636363636365}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_122839,Qwen/Qwen3.5-2B,gepa,0.2381,0.959,0.5704,0.7153,"{'hate_xplain': 0.6756152125279642, 'jigsaw': 0.7686274509803922, 'web_questions': 0.17518248175182483, 'olid': 0.7014925373134329, 'dkhate': 0.9310344827586207, 'hate_speech_slovak ': 0.7407407407407407, 'ml_questions': 0.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
20260416_122839,Qwen/Qwen3.5-2B,fewshot,0.2259,0.944,0.5705,0.7112,"{'hate_xplain': 0.738255033557047, 'jigsaw': 0.6549019607843137, 'web_questions': 0.4233576642335766, 'olid': 0.6567164179104478, 'dkhate': 0.7241379310344828, 'hate_speech_slovak ': 0.7962962962962963, 'ml_questions': 0.0}","{""max_new_tokens_baseline"": 1024, ""max_input_len"": 2048, ""gepa_train_size"": 100, ""gepa_val_size"": 30, ""gepa_auto"": ""light"", ""gepa_seed"": 22, ""fs_train_size"": 30, ""fs_max_demos"": 6, ""fs_candidates"": 4}"
